Date,AKRA.JK,ANTM.JK,ASII.JK,BBCA.JK,BBNI.JK,BBRI.JK,BBTN.JK,BJBR.JK,BMRI.JK,BTPS.JK,DSNG.JK,ICBP.JK,INCO.JK,INDF.JK,INTP.JK,JPFA.JK,JSMR.JK,KLBF.JK,SMGR.JK,TLKM.JK,UNTR.JK,UNVR.JK
2022-02-03,599.8,1605.2,4286.43,7192.56,3279.0,3433.93,1354.02,1046.61,3229.04,3119.04,495.27,8000.99,4638.03,5697.04,10053.78,1409.63,3349.83,1563.47,6289.89,3664.28,15351.9,3520.72
2022-02-04,595.66,1579.03,4286.43,7192.56,3290.23,3500.45,1390.72,1058.5,3229.04,3261.62,490.85,8118.65,4667.64,5697.04,10030.72,1422.8,3310.99,1591.72,6403.84,3690.45,15133.3,3529.5
2022-02-07,624.62,1579.03,4266.94,7262.39,3312.69,3658.43,1431.5,1074.36,3239.84,3315.09,508.54,8142.19,4647.9,5741.38,10307.43,1414.02,3272.15,1587.02,6586.15,3742.8,15200.56,3511.94
2022-02-08,620.48,1561.58,4325.4,7192.56,3368.83,3691.69,1427.43,1086.25,3293.83,3252.71,508.54,8118.65,4588.69,5652.71,10007.66,1378.89,3233.31,1544.63,6517.78,3690.45,14914.71,3511.94
2022-02-09,608.07,1552.86,4325.4,7402.05,3402.52,3700.0,1447.82,1102.11,3315.43,3386.39,499.69,8165.72,4598.56,5630.54,10030.72,1387.67,3291.57,1554.05,6677.31,3734.07,15251.01,3476.82
2022-02-10,583.25,1640.1,4247.46,7215.84,3447.44,3716.63,1443.74,1094.18,3337.03,3475.5,495.27,8118.65,4736.72,5608.38,10007.66,1409.63,3243.02,1544.63,6631.73,3891.11,15335.08,3494.38
2022-02-11,579.12,1609.57,4247.46,7285.67,3458.67,3700.0,1443.74,1110.04,3337.03,3368.56,512.96,8142.19,4716.98,5630.54,10076.84,1400.85,3252.73,1539.92,6722.89,3882.39,15503.23,3424.14
2022-02-14,574.98,1648.82,4130.56,7169.29,3458.67,3666.74,1443.74,1094.18,3369.43,3136.86,530.65,8048.06,4638.03,5630.54,9938.48,1387.67,3223.6,1506.96,6563.36,3838.77,15772.27,3380.24
2022-02-15,574.98,1640.1,4286.43,7332.22,3559.73,3683.37,1480.44,1114.0,3412.63,3252.71,548.34,8048.06,4608.43,5652.71,10030.72,1383.28,3223.6,1544.63,6631.73,3847.49,16259.89,3397.8
2022-02-16,599.8,1640.1,4266.94,7425.33,3570.96,3675.06,1472.29,1117.97,3391.03,3324.0,543.92,8000.99,4667.64,5586.21,10122.96,1383.28,3320.7,1525.8,6745.68,3838.77,16007.67,3397.8
2022-02-17,603.94,1696.8,4266.94,7355.5,3548.5,3658.43,1468.21,1114.0,3391.03,3297.27,566.03,8024.52,4687.38,5652.71,10261.31,1378.89,3476.05,1506.96,6677.31,3847.49,15957.23,3362.68
2022-02-18,612.21,1823.3,4364.36,7378.78,3582.19,3683.37,1464.13,1106.07,3391.03,3350.74,566.03,8024.52,4835.4,5652.71,10076.84,1405.24,3456.63,1506.96,6700.1,3838.77,16091.75,3380.24
2022-02-21,616.35,1893.09,4344.88,7402.05,3548.5,3733.26,1472.29,1114.0,3391.03,3430.94,552.76,8000.99,4835.4,5564.04,10330.49,1387.67,3320.7,1497.54,6631.73,3812.59,15805.89,3380.24
2022-02-22,608.07,1901.82,4344.88,7355.5,3481.13,3683.37,1427.43,1114.0,3401.83,3208.16,535.07,8024.52,4894.61,5674.88,10284.37,1435.98,3349.83,1525.8,6608.94,3751.52,15789.08,3345.12
2022-02-23,612.21,1919.26,4403.33,7495.16,3559.73,3724.94,1439.66,1117.97,3401.83,3190.33,570.45,8189.25,4874.87,5674.88,10146.02,1427.19,3456.63,1554.05,6563.36,3795.14,16142.19,3353.9
2022-02-24,649.44,1936.71,4442.3,7448.61,3514.82,3650.11,1419.27,1098.14,3326.23,3127.95,552.76,8024.52,5032.76,5608.38,9661.78,1387.67,3310.99,1535.21,6289.89,3699.18,16949.3,3239.76
2022-02-25,624.62,1936.71,4520.23,7495.16,3593.42,3783.15,1447.82,1106.07,3326.23,3199.24,552.76,8000.99,5328.81,5497.54,10099.9,1378.89,3281.86,1549.34,6563.36,3786.42,16747.52,3230.98
2022-03-01,612.21,1971.61,4442.3,7495.16,3559.73,3849.66,1419.27,1110.04,3304.63,3136.86,583.71,7765.67,5180.78,5475.37,9707.89,1383.28,3252.73,1488.12,6472.2,3795.14,16713.89,3230.98
2022-03-02,620.48,1997.78,4305.91,7425.33,3492.36,3791.46,1398.88,1121.93,3293.83,3056.66,654.47,7459.75,5180.78,5497.54,9408.12,1405.24,3281.86,1506.96,6130.36,3742.8,17167.89,3213.42
2022-03-04,624.62,2137.36,4383.85,7355.5,3548.5,3882.92,1374.41,1113.1,3304.63,3029.92,658.89,7365.62,5328.81,5386.7,9408.12,1383.28,3301.28,1544.63,6039.2,3838.77,18210.41,3090.51
2022-03-07,657.71,2460.15,4520.23,7169.29,3469.9,3758.2,1349.94,1093.22,3261.43,2860.6,658.89,6965.57,6019.58,5076.35,9408.12,1370.11,3233.31,1511.67,5742.94,3934.74,18395.37,3011.49
2022-03-08,657.71,2477.6,4870.94,7122.73,3413.75,3683.37,1349.94,1109.12,3261.43,2682.37,623.51,7153.83,6315.62,5253.69,9223.65,1365.72,3301.28,1497.54,5811.31,4030.71,17285.6,2950.03
2022-03-09,670.12,2311.84,4909.91,7308.95,3492.36,3799.78,1386.64,1097.2,3293.83,2744.75,632.36,7177.36,5970.24,5275.86,9269.77,1444.76,3495.47,1492.83,5856.89,3873.66,17756.41,2985.15
2022-03-10,657.71,2242.05,4870.94,7378.78,3492.36,3799.78,1390.72,1101.17,3315.43,2860.6,623.51,7295.02,6142.93,5386.7,9869.31,1435.98,3592.57,1511.67,6335.47,3847.49,17453.74,3011.49
2022-03-11,657.71,2198.43,4890.43,7402.05,3570.96,3803.45,1402.96,1117.08,3304.63,2816.05,614.67,7106.76,6044.25,5364.53,9846.25,1435.98,3592.57,1521.09,6244.31,4004.53,17958.19,2958.81
2022-03-14,657.71,2093.74,4968.36,7518.44,3638.34,3907.18,1396.71,1129.0,3347.83,2762.58,596.98,7083.23,5624.85,5408.87,9846.25,1488.67,3592.57,1535.21,6175.94,3995.81,16713.89,2967.59
2022-03-15,661.85,2067.57,4909.91,7588.27,3627.11,3984.98,1413.24,1121.05,3358.63,2735.84,596.98,6989.1,5526.17,5364.53,9823.19,1414.02,3446.92,1525.8,6039.2,4030.71,16461.67,2879.79
2022-03-16,665.99,2085.02,4987.84,7634.82,3750.63,4019.56,1446.29,1121.05,3434.23,2718.02,601.4,7177.36,5526.17,5453.2,9846.25,1414.02,3417.79,1525.8,6084.78,4039.43,16814.78,3029.05
2022-03-17,670.12,2050.12,5007.33,7448.61,3694.49,4019.56,1438.03,1121.05,3434.23,2780.4,605.82,7130.3,5501.5,5431.03,9961.54,1414.02,3476.05,1516.38,6153.15,3908.56,16982.93,3002.71
2022-03-18,690.8,2085.02,4987.84,7355.5,3728.17,3959.05,1433.9,1152.85,3423.43,2807.14,601.4,7130.3,5723.53,5342.37,10122.96,1409.63,3495.47,1535.21,6061.99,3960.91,17100.63,2950.03
2022-03-21,686.67,2058.85,5143.71,7355.5,3627.11,3967.69,1404.97,1125.03,3462.18,2940.81,574.87,7012.63,5674.19,5298.03,9800.13,1409.63,3505.18,1554.05,5993.62,3969.63,17050.19,3037.83
2022-03-22,686.67,2224.6,5124.23,7378.78,3604.65,4010.91,1409.1,1140.93,3473.5,3110.13,605.82,7036.17,6068.92,5342.37,10007.66,1418.41,3611.99,1558.76,6061.99,3969.63,17184.71,3064.17
2022-03-23,732.17,2180.98,5046.29,7355.5,3627.11,4019.56,1396.71,1148.88,3518.75,3243.8,614.67,7059.7,6315.62,5298.03,10053.78,1414.02,3709.08,1563.47,5993.62,3969.63,17302.41,2993.93
2022-03-24,728.03,2303.12,5124.23,7378.78,3762.66,4088.71,1446.29,1172.73,3586.64,3208.16,601.4,7106.76,6685.68,5275.86,10122.96,1418.41,3699.37,1591.72,5993.62,3978.36,17890.93,2967.59
2022-03-25,761.13,2320.57,4987.84,7402.05,3762.66,4071.42,1433.9,1176.71,3552.7,3119.04,610.25,6824.38,6759.69,5120.69,10122.96,1414.02,3728.5,1572.89,5925.26,3943.46,17705.96,2985.15
2022-03-28,794.22,2294.39,5221.65,7468.23,3888.46,4088.71,1446.29,1216.46,3564.01,3074.48,588.14,6847.91,6661.01,5142.86,10030.72,1444.76,3718.79,1535.21,6175.94,4013.26,17890.93,3037.83
2022-03-29,769.4,2207.15,5104.75,7420.96,3831.28,4054.13,1450.43,1228.39,3586.64,2994.28,561.6,6871.44,6636.34,5165.02,9915.43,1435.98,3718.79,1535.21,6084.78,3978.36,17504.19,3055.39
2022-03-30,744.58,2189.71,5182.68,7444.59,3842.71,4071.42,1425.63,1212.48,3564.01,3003.19,583.71,6942.04,6636.34,5253.69,10076.84,1462.33,3718.79,1563.47,6153.15,3995.81,17403.3,3266.1
2022-03-31,752.85,2128.64,5124.23,7539.13,3774.09,4028.2,1417.37,1212.48,3575.33,2940.81,566.03,6918.5,6611.67,5275.86,9938.48,1449.15,3738.21,1516.38,6061.99,3995.81,17184.71,3213.42
2022-04-01,765.26,2189.71,5221.65,7491.86,3751.22,4088.71,1409.1,1208.51,3564.01,3021.01,561.6,7083.23,6809.03,5364.53,9892.37,1444.76,3767.34,1521.09,6175.94,3995.81,17436.93,3178.31
2022-04-04,756.99,2303.12,5319.07,7468.23,3854.15,4062.78,1417.37,1216.46,3541.38,2896.25,579.29,7106.76,6883.04,5408.87,10030.72,1457.93,3728.5,1587.02,6244.31,3960.91,18008.63,3134.41
2022-04-05,769.4,2329.29,5377.52,7468.23,3831.28,4062.78,1409.1,1208.51,3541.38,2896.25,583.71,7130.3,6858.37,5408.87,10007.66,1475.5,3738.21,1516.38,6221.52,3943.46,18294.48,3230.98
2022-04-06,765.26,2311.84,5455.45,7326.43,3728.35,3976.34,1392.57,1208.51,3473.5,2789.31,566.03,6965.57,6735.02,5408.87,9684.83,1435.98,3660.54,1502.25,6107.57,3864.94,18462.63,3160.75
2022-04-07,761.13,2407.81,5377.52,7326.43,3796.97,4002.27,1367.78,1204.53,3484.81,2816.05,543.92,7130.3,7080.4,5408.87,9638.72,1449.15,3670.24,1488.12,6016.41,3960.91,18260.85,3134.41
2022-04-08,761.13,2442.7,5455.45,7420.96,3854.15,3984.98,1359.52,1225.04,3484.81,2878.43,566.03,7012.63,7475.13,5431.03,9638.72,1449.15,3602.28,1488.12,6084.78,3995.81,19236.11,3108.07
2022-04-11,761.13,2294.39,5338.55,7302.79,3842.71,3950.4,1338.85,1208.03,3473.5,2789.31,570.45,7083.23,7203.76,5386.7,9338.95,1440.37,3466.34,1492.83,5942.21,4004.53,19135.22,3037.83
2022-04-12,752.85,2329.29,5416.49,7373.69,3854.15,3984.98,1347.12,1199.52,3484.81,2878.43,605.82,6965.57,7450.46,5453.2,9431.18,1409.63,3514.89,1492.83,5895.42,4039.43,18798.93,3090.51
2022-04-13,769.4,2433.98,5435.97,7373.69,3865.59,3984.98,1351.25,1199.52,3496.13,2851.69,596.98,6894.97,7327.11,5497.54,9385.07,1414.02,3660.54,1502.25,5801.84,4091.78,19690.11,3020.27
2022-04-14,769.4,2425.25,5358.04,7279.16,3842.71,3924.47,1338.85,1220.79,3473.5,2833.87,592.56,6753.78,7869.86,5431.03,9269.77,1396.45,3573.15,1492.83,5638.08,4083.05,20043.22,2985.15
2022-04-18,777.67,2529.94,5455.45,7279.16,3854.15,3933.11,1330.59,1233.55,3450.87,2896.25,601.4,6683.18,8190.57,5431.03,9246.71,1391.89,3592.57,1506.96,5755.05,4109.23,20177.74,2976.37
2022-04-19,785.95,2486.32,5377.52,7208.26,3842.71,3950.4,1347.12,1216.54,3428.24,2816.05,583.71,6753.78,8560.63,5497.54,9477.3,1332.56,3534.31,1483.41,5661.47,4083.05,19908.7,2941.25
2022-04-20,773.54,2460.15,5377.52,7231.89,4105.75,4192.44,1376.04,1225.04,3552.7,2896.25,557.18,6894.97,8363.26,5519.7,9431.18,1286.93,3699.37,1469.28,5567.9,4039.43,19669.34,3046.61
2022-04-21,847.99,2433.98,5455.45,7491.86,4288.74,4149.22,1454.56,1229.3,3756.36,2976.45,574.87,6989.1,7894.53,5541.87,9362.01,1277.8,3602.28,1506.96,5684.87,4030.71,19513.23,2985.15
